iter	TotalF1	MultiClass
0	0.9555259282	1.294339079
1	0.9797457661	0.9892068401
2	0.9796367573	0.8134859635
3	0.9796536774	0.6789998873
4	0.9908254607	0.5749724042
5	0.9921476374	0.4890849784
6	0.9924676953	0.4268793288
7	0.9919050005	0.3728956357
8	0.9925619762	0.3237659708
9	0.9926639714	0.2830296917
10	0.9932709917	0.2479508272
11	0.9933573092	0.2187838518
12	0.9934346391	0.1967531919
13	0.9936335154	0.1748991153
14	0.9936248526	0.1563055517
15	0.9935684372	0.1394257947
16	0.9938973986	0.1255648972
17	0.9937259225	0.1124967403
18	0.9941180686	0.1010434514
19	0.9941231949	0.09089053722
20	0.9941550479	0.08187791219
21	0.9941500775	0.07380225555
22	0.994323821	0.06655923723
23	0.9943230854	0.06057302795
24	0.9943225506	0.05521813919
25	0.9943262707	0.05074517424
26	0.9943177316	0.04656783412
27	0.9943288038	0.04265005145
28	0.9943285318	0.03914324843
29	0.9943276299	0.03635259353
30	0.9945130693	0.03363518809
31	0.9943446684	0.03107476691
32	0.9943440356	0.02912225936
33	0.9943410719	0.02718641505
34	0.9944040257	0.02534613129
35	0.9945793809	0.02401562067
36	0.9945944489	0.02257556432
37	0.994605562	0.02133271409
38	0.9946621427	0.02023150388
39	0.9946658413	0.0193086537
40	0.9946581	0.01843862911
41	0.9947165927	0.01744100197
42	0.9951023948	0.01643582806
43	0.9951336621	0.0156464843
44	0.9951466454	0.01501563074
45	0.9951432527	0.01454137311
46	0.9951908551	0.01408727216
47	0.9951920666	0.0136614136
48	0.9952177788	0.01329576639
49	0.9952140985	0.01287468383
50	0.9952376702	0.01251705962
51	0.9952438231	0.01221477973
52	0.9953460281	0.01186558319
53	0.9953511092	0.01157427349
54	0.9954062564	0.01132391681
55	0.9954074295	0.01113446705
56	0.9954271799	0.01090495458
57	0.9954524728	0.01061588478
58	0.9954561031	0.01048181753
59	0.9954628753	0.01033179105
60	0.995462041	0.01012822528
61	0.9955172711	0.01000047826
62	0.9955889495	0.009767467447
63	0.9955958898	0.00964865805
64	0.9956014722	0.009590784161
65	0.9956077674	0.009465947206
66	0.9956227069	0.009260716446
67	0.9956254009	0.009167426031
68	0.9956272836	0.008978056819
69	0.9956419116	0.008919845154
70	0.9956481388	0.008877569423
71	0.9956493071	0.008809678107
72	0.995661222	0.008756687634
73	0.9956607366	0.008680828359
74	0.9956697891	0.008636959931
75	0.9956811618	0.008556166948
76	0.9957048475	0.008474892153
77	0.995705209	0.008454720618
78	0.995707719	0.008424047466
79	0.9957741619	0.008346228691
80	0.9957742397	0.008321802285
81	0.995774593	0.008306886097
82	0.9957834804	0.008221967951
83	0.9957984915	0.008158827267
84	0.9958021624	0.008131098648
85	0.9957903845	0.008112753881
86	0.9957882423	0.008040210948
87	0.9957896818	0.008021991873
88	0.9958313702	0.007902545047
89	0.9958335421	0.007881590919
90	0.9958352831	0.007873408317
91	0.9958357277	0.007858699017
92	0.9958391346	0.007842791867
93	0.9958503396	0.007771091584
94	0.9958552248	0.00772851519
95	0.995857349	0.007665256904
