iter	Passed	Remaining
0	6612	1977236
1	13432	2001427
2	19755	1955780
3	26335	1948835
4	30756	1814637
5	34585	1694690
6	38250	1601075
7	42127	1537638
8	46343	1498453
9	50373	1460825
10	54497	1431792
11	58764	1410357
12	62793	1386277
13	66841	1365473
14	71007	1349139
15	75229	1335319
16	79379	1321439
17	83525	1308572
18	87770	1298082
19	91908	1286718
20	96044	1276017
21	100153	1265579
22	104320	1256380
23	108153	1243767
24	112262	1234882
25	116228	1224864
26	120359	1216966
27	124321	1207696
28	128536	1201151
29	132447	1192024
30	136727	1186443
31	140966	1180596
32	145207	1174863
33	149553	1170036
34	153830	1164719
35	157795	1157168
36	161728	1149586
37	165522	1141232
38	169497	1134331
39	173701	1129056
40	177897	1123793
41	181981	1117884
42	186011	1111742
43	190286	1107120
44	194382	1101499
45	198353	1095254
46	202253	1088725
47	206105	1082054
48	210145	1076458
49	214065	1070328
50	217865	1063698
51	222117	1059329
52	225836	1052484
53	229986	1047718
54	233886	1041859
55	237707	1035727
56	241829	1030955
57	245345	1023683
58	249632	1019683
59	253532	1014129
60	257270	1007994
61	260972	1001796
62	264634	995528
63	268560	990316
64	272346	984637
65	273967	971339
66	275265	957266
67	276649	943862
68	278054	930877
69	279414	918074
70	280734	905468
71	281974	892919
72	283212	880675
73	284455	868741
74	285650	856950
75	286858	845477
76	288044	834205
77	289072	822743
78	290123	811611
79	291196	800789
80	292253	790167
81	293445	780136
82	294654	770362
83	295756	760515
84	296941	751086
85	298196	742023
86	299520	733308
87	300793	724639
88	302137	716303
89	303487	708137
90	306930	704928
91	310488	701973
92	314073	699066
93	317954	696794
94	321587	693952
95	325250	691158
96	328909	688336
97	332630	685626
98	336323	682837
99	339921	679842
100	343610	677014
101	346990	673569
102	350693	670744
103	354348	667810
104	357999	664857
105	361840	662236
106	365584	659417
107	370202	658137
108	373853	655100
109	377590	652201
110	381355	649334
111	384814	645938
112	385930	638662
113	387161	631684
114	388271	624610
115	389397	617664
116	390619	610969
117	391950	604533
118	393252	598140
119	394528	591792
120	396527	586599
121	400176	583864
122	403905	581229
123	407520	578416
124	411123	575572
125	414821	572848
126	418382	569922
127	421976	567031
128	425257	563713
129	431142	563801
130	439206	566609
131	443952	565031
132	447565	561980
133	451179	558924
134	455094	556226
135	458683	553118
136	462169	549880
137	465843	546859
138	469432	543731
139	473064	540645
140	476708	537565
141	480473	534611
142	483615	530962
143	484955	525368
144	486132	519658
145	487250	513948
146	488353	508285
147	489448	502676
148	490582	497167
149	491728	491728
150	492904	486375
151	494040	481039
152	495152	475734
153	496571	470775
154	497824	465706
155	498914	460536
156	500057	455466
157	501218	450462
158	502302	445438
159	503425	440497
160	504602	435650
161	505758	430831
162	506998	426127
163	508241	421468
164	509440	416815
165	510711	412260
166	511882	407666
167	513105	403154
168	514489	398805
169	515634	394308
170	516731	389815
171	517882	385401
172	518980	380985
173	520072	376604
174	521409	372435
175	522635	368220
176	523749	363961
177	525100	359900
178	526297	355765
179	527434	351623
180	528622	347547
181	530000	343626
182	531487	339803
183	532603	335771
184	533713	331767
185	534847	327809
186	536080	323941
187	537418	320163
188	538916	316506
189	540493	312917
190	542242	309447
191	545874	307054
192	549553	304674
193	553231	302281
194	556847	299841
195	560623	297473
196	564302	295041
197	567889	292549
198	571520	290068
199	575175	287587
200	578902	285131
201	582573	282634
202	586281	280144
203	589979	277637
204	593689	275124
205	597293	272551
206	599061	269143
207	600184	265466
208	601248	261787
209	602470	258201
210	603709	254645
211	605014	251138
212	606341	247660
213	607472	244124
214	608544	240587
215	609624	237076
216	610714	233591
217	611855	230147
218	612942	226704
219	614067	223297
220	615265	219936
221	616484	216602
222	617742	213301
223	619074	210043
224	620513	206837
225	621883	203625
226	627584	201822
227	634164	200262
228	638130	197848
